monocromatizar_inf;1;2608;1000;325014316;325014.312;1;
monocromatizar_inf;2;2704;1000;303784842;303784.844;1;
monocromatizar_inf;4;2800;1000;306290608;316290.625;1;
monocromatizar_inf;8;2992;1000;300012792;300012.812;1;
monocromatizar_inf;16;3376;1000;275241551;275241.531;1;
monocromatizar_inf;32;4128;1000;259687793;289687.797;1;
monocromatizar_inf;64;5632;1000;265012325;265012.312;1;
monocromatizar_inf;128;8640;1000;299475397;299475.406;1;
monocromatizar_inf;256;14656;1000;305441103;305441.094;1;
monocromatizar_inf;512;26688;1000;316756889;316756.906;1;
monocromatizar_inf;1024;50752;1000;347706531;347706.531;1;
monocromatizar_inf;2048;98880;2000;731894993;365947.500;1;
monocromatizar_inf;4096;195136;2000;853720616;426860.312;1;
monocromatizar_inf;8192;387648;2000;926781161;463390.594;1;
monocromatizar_inf;16384;772672;2000;968856060;484428.031;1;
monocromatizar_inf;32768;1542720;2000;1145765828;572882.938;1;
monocromatizar_inf;65536;3082656;1000;1283118090;1283118.125;1
